,Name,ChW,TotCh,ChW%,SO,VFB,VAP,TotV,TCA,TC%,wTCR,TotJ,SurvSc,SurvAv,Days,Non-VFB,InRCA,InRCW,InICA,InICW,InChA,InChW,Season,TRCA,TRCW,TICA,TICW,TChA,TChW,TChW%,Exile,age,state,Won,Name_Index,state_D.C.,season,gender,occupation,Idols found,Idols held,Idols played,Votes voided,Boot avoided,Tie avoided
407,Tai Trang,1.85,12.81,0.14,0,9,10,109,13,0.69,1.38,10,0.83,3.23,38,4,0.5,0.25,10,1,10.5,1.25,34,6.0,2.0,7,3.0,13.0,5.0,0.385,0,52,California,0,410,0,34.0,1,Gardener,3.0,3.0,3.0,9.0,1.0,0.0
408,Malcolm Freberg,0.42,1.08,0.39,0,2,5,30,3,0.61,2.07,10,1.0,2.49,11,1,0.5,0.5,0,0,0.5,0.5,34,0.0,0.0,4,1.0,4.0,1.0,0.25,0,29,California,0,411,0,34.0,1,Bartender,0.0,0.0,0.0,0.0,0.0,0.0
409,Hali Ford,0.49,2.41,0.2,0,4,8,49,5,0.77,1.87,10,0.97,2.35,21,1,0.0,0.0,1,0,1.0,0.0,34,2.0,0.0,7,3.0,9.0,3.0,0.33299999999999996,0,26,California,0,412,0,34.0,0,Law Student,0.0,0.0,0.0,0.0,0.0,0.0
410,Zeke Smith,1.3,5.97,0.22,0,3,11,60,6,0.47,0.93,10,0.69,2.24,29,3,0.0,0.0,4,0,4.0,0.0,34,5.0,4.0,7,3.0,12.0,7.0,0.667,0,28,New York,0,413,0,34.0,1,Asset Manager,0.0,0.0,0.0,0.0,0.0,0.0
411,Caleb Reynolds,0.0,0.38,0.0,0,2,5,25,3,0.6,2.07,10,0.6,2.07,9,1,0.0,0.0,0,0,0.0,0.0,34,0.0,0.0,3,0.0,3.0,0.0,0.0,0,28,Kentucky,0,414,0,34.0,1,Army Veteran,0.0,0.0,0.0,0.0,0.0,0.0
412,Jeff Varner,0.41,1.41,0.29,0,3,6,48,6,0.48,1.4,10,0.77,1.81,18,3,0.0,0.0,0,0,0.0,0.0,34,2.0,1.0,7,1.0,9.0,2.0,0.278,0,50,North Carolina,0,415,0,34.0,1,Internet Projects Manager,0.0,0.0,0.0,0.0,0.0,0.0
413,Michaela Bradshaw,0.55,9.31,0.06,1,7,11,106,11,0.63,1.19,10,0.69,1.74,35,4,0.0,0.0,7,0,7.0,0.0,34,6.0,0.0,7,3.0,13.0,3.0,0.26899999999999996,0,25,Texas,0,416,0,34.0,0,Vacation Club Sales,0.0,0.0,0.0,0.0,0.0,0.0
414,Sandra Diaz-Twine,0.27,1.12,0.24,1,2,5,42,5,0.38,1.24,10,0.61,1.51,16,3,0.0,0.0,0,0,0.0,0.0,34,1.0,0.0,6,1.0,7.0,1.0,0.214,0,41,North Carolina,0,417,0,34.0,0,Office Assistant,0.0,0.0,0.0,0.0,0.0,0.0
415,Tony Vlachos,0.0,0.21,0.0,0,1,7,19,2,0.32,1.27,10,0.32,1.27,6,1,0.0,0.0,0,0,0.0,0.0,34,0.0,0.0,2,0.0,2.0,0.0,0.0,0,42,New Jersey,0,418,0,34.0,1,Police Officer,0.0,0.0,0.0,0.0,0.0,0.0
416,Ciera Eastin,0.0,0.1,0.0,0,0,9,10,1,-0.9,0.0,10,-0.9,0.0,3,1,0.0,0.0,0,0,0.0,0.0,34,0.0,0.0,1,0.0,1.0,0.0,0.0,0,27,Oregon,0,419,0,34.0,0,Cosmetology Student,0.0,0.0,0.0,0.0,0.0,0.0
