Name,ChW,TotCh,ChW%,SO,VFB,VAP,TotV,TCA,TC%,wTCR,VFT,JVF,TotJ,JV%,SurvSc,SurvAv,Days,Place,Non-VFB,InRCA,InRCW,InICA,InICW,InChA,InChW,Season,TRCA,TRCW,TICA,TICW,TChA,TChW,TChW%,Exile
Ashley Underwood,2.64,11.02,0.24,0,11,3,101,13,0.84,3.38,12,0,9,0,1.08,6.03,38,4,2,0,0,10,2,10,2,22,0,0,7,4,7,4,0.571428571,0
Matt Elrod,4.25,5.74,0.74,0,1,10,29,3,0.22,0.67,1,0,9,0,0.96,4.92,36,8,2,0,0,0,0,0,0,22,0,0,2,0,2,0,0,29
Grant Mattos,2.64,9.52,0.28,0,9,10,92,11,0.81,1.64,8,0,9,0,1.09,4.28,36,6,2,0,0,8,2,8,2,22,0,0,7,4,7,4,0.571428571,1
Mike Chiesl,2.13,5.52,0.39,0,4,6,53,6,0.65,1.87,5,0,9,0,1.03,4,36,7,2,0,0,2,0,2,0,22,0,0,7,3,7,3,0.428571429,14
Andrea Boehlke,2.27,10.02,0.23,0,7,9,92,11,0.63,1.37,9,0,9,0,0.85,3.64,37,5,4,0,0,8,1,8,1,22,0,0,7,4,7,4,0.571428571,4
Phillip Sheppard,0.64,11.02,0.06,0,12,17,101,13,0.91,1.23,6,1,9,0.11,1.08,2.54,39,2,1,0,0,10,0,10,0,22,0,0,7,4,7,4,0.571428571,0
Sarita White,0.38,1.52,0.25,2,2,6,30,4,0.45,1.4,2,0,9,0,0.7,1.78,19,13,2,0,0,0,0,0,0,22,0,0,7,3,7,3,0.428571429,1
Julie Wolfe,0.38,5.52,0.07,1,3,6,72,8,0.36,1.05,7,0,9,0,0.43,1.43,28,11,5,0,0,4,0,4,0,22,0,0,7,3,7,3,0.428571429,1
Steve Wright,0.38,7.52,0.05,1,4,9,87,10,0.39,0.86,7,0,9,0,0.44,1.24,31,10,6,0,0,6,0,6,0,22,0,0,7,3,7,3,0.428571429,1
Ralph Kiser,0.5,7.02,0.07,1,3,9,80,9,0.32,0.72,7,0,9,0,0.39,1.22,33,9,6,0,0,5,0,5,0,22,0,0,7,3,7,3,0.428571429,3
David Murphy,0.25,4.52,0.06,1,2,8,63,7,0.27,0.67,5,0,9,0,0.32,0.92,27,12,5,0,0,3,0,3,0,22,0,0,7,2,7,2,0.285714286,1
Stephanie Valencia,0.38,1.36,0.28,0,0,8,24,3,-0.11,0,1,0,9,0,0.17,0.38,17,14,3,0,0,0,0,0,0,22,0,0,6,3,6,3,0.5,1
Krista Klumpp,0.24,1.19,0.2,1,0,6,17,2,-0.18,0,1,0,9,0,0.02,0.24,14,15,2,0,0,0,0,0,0,22,0,0,5,2,5,2,0.4,1
Russell Hantz,0.24,0.88,0.27,0,0,3,9,1,-0.33,0,0,0,9,0,-0.06,0.24,10,17,1,0,0,0,0,0,0,22,0,0,3,2,3,2,0.666666667,2
Kristina Kell,0.14,1.02,0.14,0,0,7,24,3,-0.1,0,0,0,9,0,0.04,0.14,12,16,3,0,0,0,0,0,0,22,0,0,4,1,4,1,0.25,1
Francesca Hogi,0,0.61,0,0,0,4,9,1,-0.44,0,0,0,9,0,-0.44,0,6,18,1,0,0,0,0,0,0,22,0,0,2,0,2,0,0,3
Coach Wade,1.55,11.48,0.13,0,13,0,101,13,1,7,13,3,9,0.33,1.47,10.55,39,2,0,0.5,0,10,1,10.5,1,23,0,0,7,4,7,4,0.571428571,0
Sophie Clarke,3.55,10.98,0.32,0,11,5,101,13,0.84,2.63,10,6,9,0.67,1.83,10.18,39,1,2,0,0,10,3,10,3,23,0,0,7,4,7,4,0.571428571,0
Albert Destrade,1.55,10.98,0.14,0,11,1,101,13,0.85,4.74,12,0,9,0,0.99,6.28,39,3,2,0,0,10,1,10,1,23,0,0,7,4,7,4,0.571428571,0
Ozzy Lusth,5.93,8.48,0.7,0,2,17,62,8,0.22,0.33,5,0,9,0,0.92,6.27,38,4,6,0.5,0.5,4,2,4.5,2.5,23,0,0,7,3,7,3,0.428571429,15
Brandon Hantz,1.55,9.48,0.16,0,10,4,92,11,0.91,3.18,9,0,9,0,1.07,4.73,36,6,1,0,0,8,1,8,1,23,0,0,7,4,7,4,0.571428571,1
Elyse Umemoto,0.27,1.15,0.23,0,2,3,24,3,0.63,2.67,2,0,9,0,0.86,2.93,15,15,1,0,0,0,0,0,0,23,0,0,6,2,6,2,0.333333333,1
Whitney Duncan,1.68,6.48,0.26,0,4,7,80,9,0.43,1.13,8,0,9,0,0.69,2.82,28,9,5,0,0,5,1,5,1,23,0,0,7,3,7,3,0.428571429,1
Dawn Meehan,1.43,6.48,0.22,0,5,9,72,8,0.61,1.35,6,0,9,0,0.83,2.78,28,10,3,0,0,4,1,4,1,23,0,0,7,3,7,3,0.428571429,1
Mikayla Wingle,0.38,1.31,0.29,0,2,4,24,3,0.61,2.33,2,0,9,0,0.9,2.71,17,14,1,0,0,0,0,0,0,23,0,0,6,3,6,3,0.5,1
Christine Shields-Markoski,2.61,3.24,0.81,0,0,4,9,1,-0.44,0,0,0,9,0,0.36,2.61,20,13,1,0,0,0,0,0,0,23,0,0,2,1,2,1,0.5,15
Jim Rice,1.43,4.48,0.32,0,3,8,63,7,0.41,1,5,0,9,0,0.73,2.43,25,12,4,0,0,3,1,3,1,23,0,0,7,3,7,3,0.428571429,1
Keith Tollefson,0.68,2.48,0.28,0,3,6,42,5,0.57,1.68,4,0,9,0,0.85,2.36,25,11,2,0,0,1,0,1,0,23,0,0,7,3,7,3,0.428571429,4
Rick Nelson,0.55,9.98,0.05,1,10,11,97,12,0.82,1.56,9,0,9,0,0.88,2.1,37,5,2,0,0,9,0,9,0,23,0,0,7,4,7,4,0.571428571,0
John Cochran,0.43,7.48,0.06,0,8,13,87,10,0.79,1.32,3,0,9,0,0.84,1.75,31,8,2,0,0,7,0,7,0,23,0,0,7,3,7,3,0.428571429,1
Edna Ma,0.55,8.48,0.06,2,7,15,87,10,0.68,1.03,4,0,9,0,0.75,1.58,33,7,3,0,0,7,0,7,0,23,0,0,7,4,7,4,0.571428571,1
Papa Bear Caruso,0.13,0.86,0.15,0,1,6,17,2,0.32,1.4,1,0,9,0,0.47,1.53,9,17,1,0,0,0,0,0,0,23,0,0,3,1,3,1,0.333333333,1
Stacey Powell,0.24,1,0.24,0,0,10,17,2,-0.29,0,0,0,9,0,-0.06,0.24,12,16,2,0,0,0,0,0,0,23,0,0,4,2,4,2,0.5,1
Semhar Tadesse,0,0.61,0,0,0,8,9,1,-0.89,0,0,0,9,0,-0.89,0,6,18,1,0,0,0,0,0,0,23,0,0,1,0,1,0,0,3
Mike Skupin,4.05,13.36,0.3,1,6,0,60,8,0.75,5.25,8,1,8,0.13,1.18,10.05,39,2,2,3,1,8,2,11,3,25,5,1,6,3,11,4,0.455,0
Denise Stapley,1.65,13.36,0.12,0,11,6,89,14,0.78,2.2,10,6,8,0.75,1.65,8.35,39,1,3,3,0,8,1,11,1,25,5,3,6,0,11,3,0.273,0
Malcolm Freberg,5.21,13.36,0.39,0,9,6,78,12,0.74,2.1,9,0,8,0,1.13,7.31,38,4,3,3,2,8,2,11,4,25,5,4,6,2,11,6,0.545,0
